name,date,value
Stamford 5 N,721,16
Stamford 5 N,728,2
Stamford 5 N,742,24
Stamford 5 N,756,43
Stamford 5 N,763,45
Stamford 5 N,770,11
Stamford 5 N,1085,33
Stamford 5 N,1092,18
Stamford 5 N,1106,147
Stamford 5 N,1113,44
Stamford 5 N,1120,39
Stamford 5 N,1127,7
Stamford 5 N,1134,20
Stamford 5 N,1148,24
Stamford 5 N,1162,14
Stamford 5 N,1463,4
Stamford 5 N,1470,36
Stamford 5 N,1477,4
Stamford 5 N,1484,20
Stamford 5 N,1491,12
Stamford 5 N,1498,16
Stamford 5 N,1512,2
Stamford 5 N,1533,7
Storrs,7,12
Storrs,42,14
Storrs,49,12
Storrs,301,10
Storrs,322,13
Storrs,357,44
Storrs,371,20
Storrs,392,4
Storrs,399,1
Storrs,413,1
Storrs,420,7
Storrs,434,19
Storrs,700,15
Storrs,707,15
Storrs,721,21
Storrs,728,10
Storrs,742,22
Storrs,749,6
Storrs,756,52
Storrs,763,58
Storrs,770,25
Storrs,777,1
Storrs,826,2
Storrs,1036,11
Storrs,1050,7
Storrs,1064,6
Storrs,1092,19
Storrs,1106,13
Storrs,1113,87
Storrs,1120,41
Storrs,1127,31
Storrs,1134,20
Storrs,1141,20
Storrs,1148,28
Storrs,1162,7
Storrs,1176,2
Storrs,1183,3
Storrs,1449,5
Storrs,1463,8
Storrs,1477,18
Storrs,1484,36
Storrs,1491,18
Storrs,1505,4
Storrs,1533,17
Storrs,1547,27
Storrs,1792,4
Storrs,1799,8
Storrs,1806,21
Storrs,1820,14
Storrs,1827,18
Storrs,1841,7
Storrs,1848,15
Storrs,1855,47
Storrs,1862,13
Storrs,1883,10
Storrs,1890,36
Storrs,2163,34
Storrs,2177,14
Westbrook Center 1.1 N,721,17
Westbrook Center 1.1 N,1092,12
Westbrook Center 1.1 N,1106,14
Westbrook Center 1.1 N,1470,4
Westbrook Center 1.1 N,1477,18
Westbrook Center 1.1 N,1799,12
Westbrook Center 1.1 N,1820,6
Westbrook Center 1.1 N,1827,22
Westbrook Center 1.1 N,1834,4
Westbrook Center 1.1 N,1848,11
Westbrook Center 1.1 N,1855,5
Westbrook Center 1.1 N,1883,11
Westbrook Center 1.1 N,2163,16
Westbrook Center 1.1 N,2177,2
Westbrook Center 1.1 N,2184,43
Winsted 2.6 Nnw,672,2
Winsted 2.6 Nnw,693,3
Winsted 2.6 Nnw,700,3
Winsted 2.6 Nnw,707,60
Winsted 2.6 Nnw,714,3
Winsted 2.6 Nnw,721,30
Winsted 2.6 Nnw,728,8
Winsted 2.6 Nnw,742,42
Winsted 2.6 Nnw,756,80
Winsted 2.6 Nnw,1036,51
Winsted 2.6 Nnw,1099,12
Winsted 2.6 Nnw,1449,13
Winsted 2.6 Nnw,1463,13
Winsted 2.6 Nnw,1470,4
Winsted 2.6 Nnw,1484,13
Winsted 2.6 Nnw,1491,18
Winsted 2.6 Nnw,1533,9
Winsted 2.6 Nnw,1547,16
Winsted 2.6 Nnw,1778,41
Winsted 2.6 Nnw,1799,33
Winsted 2.6 Nnw,1806,51
Winsted 2.6 Nnw,1820,12
Winsted 2.6 Nnw,1848,7
Winsted 2.6 Nnw,2163,102
Winsted 2.6 Nnw,2177,38
